sort,year,siteid,lat,long,epareg,huc8,era,strorder,doc,no3,tn,tp,area,elev,forest,wetland,urban,ag,roads,pop,shrub,precip,k,mg,na,nh4,no2,sio2,so4,tss,turb,ph,cl,ca,anc,al,cond,ansum,catsum,co3,h,oh,dic,hco3,se,zn
2881,2001,WORP99-0728,44.39835,-118.67973,REGION_10,17070201,Year2004,2,3.83,0.0196,459,73,49.9762,1233,78.8,0.41,0.01,2.85,0.26,0.3,,0.892,46.4,188.4,129.8,1.6,NA,27.17,16.4,7.2,3.04,7.77,11.6,273.5,637.2,,63,578.55,639.77,3.012,0.017,0.589,6.82,545.51,0,4
2882,2001,WORP99-0734,44.67177,-118.54373,REGION_10,17070203,Year2004,1,1.86,0,68,9,0.8972,1728,94.3,0,0,0,3.32,0,,0.856,17.7,472.9,145.1,0.4,NA,23.26,28.5,0.6,0.171,7.96,3.9,853.7,1581.3,,144,1460.8,1489.74,12.102,0.011,0.912,17.49,1415.312,0,4
2883,2001,WORP99-0735,44.96688,-122.79566,REGION_10,17090009,Year2004,3,1.97,0.4998,645,18,60.7544,92,29.23,0.66,0.24,66.23,1.14,7.5,,1.547,19.5,125.8,140.1,0.5,NA,11.89,15.2,1,3.14,7.61,62.3,160.7,347.3,,46,413.29,446.7,1.14,0.025,0.407,3.79,298.515,0,11
2884,2001,WORP99-0739,45.69002,-123.71726,REGION_10,17100202,Year2004,1,0.87,0.7,744,9,1.1921,155,100.4,0,0,0,0.34,0,,3.705,14,137.7,212.2,0.7,NA,11.26,65,2.1,1.1,6.72,109.4,415.1,534.6,,84,692.02,779.91,0.23,0.191,0.052,8.02,467.364,0,9
2885,2001,WORP99-0740,45.2455,-119.20877,REGION_10,17070103,Year2004,2,2.47,0,156,14,30.9653,1147,80.14,0.52,0,0,2.13,0.35,,0.812,39.4,545.5,364.5,0.6,NA,22.58,24.6,3.2,0.6,8.49,19.2,1265.7,2212.8,,214,2321.69,2215.61,64.057,0.003,3.09,27.13,2210.799,0,11
2886,2001,WORP99-0745,44.89855,-117.42313,REGION_10,17050203,Year2004,2,1.81,0.0602,219,75,23.7355,1018,19.06,0,0,0.56,0.74,0.37,,0.803,68,757.1,410.4,1,NA,39.42,251.7,7.3,1.42,7.92,21.2,938.8,1818.5,,203,2124.81,2175.19,14.291,0.012,0.832,22.69,1832.534,0,1
2887,2001,WORP99-0748,43.64969,-124.09439,REGION_10,17100303,Year2004,2,2.93,0.1904,346,32,6.1822,24,90.93,0.01,0,0,1.47,1.61,,2.008,27.2,183,324.6,3.2,NA,17.71,26,0.8,3.3,6.92,196.6,297.6,578.8,,86,726.09,835.67,0.382,0.12,0.083,7.47,489.439,0,23
2888,2001,WORP99-0762,44.9714,-119.29882,REGION_10,17070202,Year2004,2,1.59,0,133,12,29.6871,NA,NA,NA,NA,NA,NA,NA,,NA,22,651.7,254.2,0.6,NA,36.32,6,0.1,0.208,7.91,12.1,857.3,1621.3,,159,1648.97,1785.69,12.328,0.012,0.813,20.04,1617.661,0,4
2889,2001,WORP99-0768,44.62217,-120.20966,REGION_10,17070204,Year2004,4,1.42,0,134,19,363.1677,658,46.63,0.04,0,1.63,1.02,0.64,,0.469,34.1,1049,1143.8,0.5,NA,24.67,464.9,6.4,1.58,8.75,84.9,1703.9,3848.7,,363,4012.67,3931.12,173.154,0.002,5.623,40.64,3284.084,0,7
2890,2001,WORP99-0768,44.62217,-120.20966,REGION_10,17070204,Year2004,4,1.42,0,134,19,363.1677,658,46.63,0.04,0,1.63,1.02,0.64,,0.469,34.1,1049,1143.8,0.5,NA,24.67,464.9,6.4,1.58,8.75,84.9,1703.9,3848.7,,363,4012.67,3931.12,173.154,0.002,5.623,40.64,3284.084,0,7
2891,2001,WORP99-0768,44.62217,-120.20966,REGION_10,17070204,Year2004,4,1.42,0,134,19,363.1677,658,46.63,0.04,0,1.63,1.02,0.64,,0.469,34.1,1049,1143.8,0.5,NA,24.67,464.9,6.4,1.58,8.75,84.9,1703.9,3848.7,,363,4012.67,3931.12,173.154,0.002,5.623,40.64,3284.084,0,7
2892,2001,WORP99-0768,44.62217,-120.20966,REGION_10,17070204,Year2004,4,1.42,0,134,19,363.1677,658,46.63,0.04,0,1.63,1.02,0.64,,0.469,34.1,1049,1143.8,0.5,NA,24.67,464.9,6.4,1.58,8.75,84.9,1703.9,3848.7,,363,4012.67,3931.12,173.154,0.002,5.623,40.64,3284.084,0,7
2893,2001,WORP99-0769,45.05124,-118.66491,REGION_10,17070202,Year2004,2,1.81,0,76,22,7.2031,1424,94.42,0.01,0,0,0,0,,0.788,33.1,169.4,184.3,0.4,NA,22.24,75.6,0.2,0.521,7.79,7.3,686.3,1088,,108,1096.32,1073.52,5.822,0.016,0.617,12.57,1006.972,0,11
2894,2001,WORP99-0769,45.05124,-118.66491,REGION_10,17070202,Year2004,2,1.81,0,76,22,7.2031,1424,94.42,0.01,0,0,0,0,,0.788,33.1,169.4,184.3,0.4,NA,22.24,75.6,0.2,0.521,7.79,7.3,686.3,1088,,108,1096.32,1073.52,5.822,0.016,0.617,12.57,1006.972,0,11
2895,2001,WORP99-0775,44.99865,-119.80257,REGION_10,17070204,Year2004,2,4.19,0,190,39,12.5901,1216,73.56,0.01,0,0,1.64,0,,0.493,47.2,558.9,292,0.6,NA,46.07,6,0.2,3.12,8.15,27.1,809.4,1775.9,,153,1644.21,1708.01,21.04,0.007,1.413,19.51,1588.641,0,10
2896,2001,WORP99-0780,44.61828,-119.29951,REGION_10,17070202,Year2004,4,2.3,0.0294,250,18,322.0301,1202,46.14,0.02,0.06,16.89,1.02,0.17,,0.442,38.8,558.6,720.6,0.7,NA,29.11,30.8,3.4,1.07,8.41,42,895.5,2353.4,,212,1974.56,2214.04,44.642,0.004,2.57,22.71,1852.367,0,7
2897,2001,WORP99-0787,44.90831,-118.31331,REGION_10,17070202,Year2004,3,1.52,0.0994,155,7,25.3933,1700,84,0,0,0,0.94,0.03,,0.89,36.1,84.5,92.6,0.5,NA,15.01,64.5,1.8,0.291,7.74,9,257.8,392.6,,46,425.33,471.56,1.764,0.018,0.55,4.29,342.306,0,13
2898,2001,WORP99-0792,44.95446,-120.11004,REGION_10,17070204,Year2004,2,1.2,0,166,52,12.2082,1034,92.57,0,0,0,1.25,0.08,,0.453,20.3,708.8,709.7,0.4,NA,26.66,38.7,28.7,4.17,8.43,83.8,2957.6,4354.4,,356,3784.81,4396.8,90.081,0.004,2.692,43.77,3569.541,0,9
2899,2001,WORP99-0794,44.62214,-118.57732,REGION_10,17070203,Year2004,4,1.48,0,174,26,411.6721,1223,90.18,0.19,0.01,0.64,2.36,0.03,,0.67,77.6,437.9,243.6,1.1,NA,35.56,15.4,2.7,1.84,8.65,22.3,400.5,1291.2,,118,1157.42,1160.48,44.831,0.002,4.467,13.19,1070.43,0,4
2900,2001,WORP99-0800,44.20009,-119.3513,REGION_10,17070201,Year2004,3,1.61,0.0294,135,4,38.6722,1427,95.67,0.01,0,0,0.77,0,,0.528,27.1,798.3,291.1,0.8,NA,20.98,281.9,0.1,0.234,8.21,9.3,2836.4,4140.3,,369,3906.28,3953.65,54.091,0.006,1.622,43.64,3557.209,0,10
2901,2001,WORP99-0803,45.2055,-121.4153,REGION_10,17070306,Year2004,2,0.97,0,35,10,16.1678,743,85.88,0,0.02,0,2.03,0.06,,0.893,14,323.5,136,0.5,NA,23.03,3.5,1.3,0.616,8.35,22.6,402.1,823.2,,81,792.2,876.06,15.704,0.004,2.239,9.17,748.151,0,14
2902,2001,WORP99-0806,44.84933,-118.78612,REGION_10,17070202,Year2004,1,1.49,0,124,5,3.4869,1677,84.81,0,0.03,0,1.41,0,,0.74,22.6,120.3,86,0.9,NA,20.71,9,0.1,0.151,7.67,11,209.9,437.1,,44,390.68,439.63,1.617,0.021,0.468,4.65,368.638,0,12
2903,2001,WORP99-0806,44.84933,-118.78612,REGION_10,17070202,Year2004,1,1.49,0,124,5,3.4869,1677,84.81,0,0.03,0,1.41,0,,0.74,22.6,120.3,86,0.9,NA,20.71,9,0.1,0.151,7.67,11,209.9,437.1,,44,390.68,439.63,1.617,0.021,0.468,4.65,368.638,0,12
2904,2002,WORP99-0813,45.20871,-123.64986,REGION_10,17100203,Year2004,2,0.72,0.21,259,18,8.1113,NA,NA,NA,NA,NA,NA,NA,,NA,10.2,111.3,254.9,0.7,NA,14.9,128,3.68,0.453,7.56,108.6,308.6,405.9,,70,634.2947508,685.7401073,1.297033845,0.027542287,0.363078055,4.87,381.0066389,0.2,0
2905,2002,WORP99-0815,44.26846,-119.97696,REGION_10,17070303,Year2004,2,2.17,0,292,20,11.0384,NA,NA,NA,NA,NA,NA,NA,,NA,55.4,872.8,335.5,0.6,NA,35.51,5.8,7.92,0.675,8.08,26.5,1373.2,2589.1,,243,2766.178912,2637.507638,30.46014441,0.008317638,1.202264435,33.24,2702.173263,0.3,5.4
2906,2002,WORP99-0819,44.54929,-122.07407,REGION_10,17090006,Year2004,1,0.87,0.0196,219,9,0.7023,1203,81.13,0,0,0,0,0,,2.243,9.6,86.8,93.2,1.8,NA,15.99,3.7,0.1,0.301,7.49,18.6,179.4,354.7,,35,351.1196396,370.8252718,0.944790567,0.032359366,0.309029543,4.21,326.0744595,0.2,0
2907,2002,WORP99-0821,43.95093,-122.11568,REGION_10,17090004,Year2004,1,0.64,0.0504,67,6,2.48,889,98.67,0,0,0,0,0,,1.827,18,137.3,107.4,0.4,NA,18.53,3.5,0.16,0.104,7.64,14.7,270.6,501.7,,50,519.4440424,533.648004,2.026765762,0.022908677,0.436515832,6.27,495.2047408,0.2,22.2
2908,2002,WORP99-0823,44.42964,-117.51413,REGION_10,17050202,Year2004,3,1.38,0.3696,527,40,22.4775,1167,32.88,0.01,0,0,0.68,0.08,,0.39,102.1,707.1,395.8,0.6,NA,32.73,629.2,15.4,1.3,8.24,34.4,1942.6,2440.4,,295,3243.64534,3148.142576,40.91320084,0.005754399,1.737800829,30.79,2510.988318,0.9,0
2909,2002,WORP99-0825,43.85208,-123.71965,REGION_10,17100303,Year2004,2,1.6,0.1106,265,8,40.3739,131,98.14,0,0,0,1.16,0,,1.608,19.7,72.8,175,0.6,NA,15.24,25.8,1.4,0.529,7.3,135.4,139.8,229.7,,44,391.9434491,407.9186671,0.415813755,0.050118723,0.199526232,2.97,222.2696091,0,8.4
2910,2002,WORP99-0830,45.2719,-117.46555,REGION_10,17060105,Year2004,2,0.82,0,80,3,31.8343,1642,44.27,0.04,0,0,0,0.03,,1.567,31.1,37.5,71.4,0.5,NA,9.81,10.5,0.6,0.275,7.42,8.8,222.7,337.3,,35,317.4309234,363.2012068,0.732818365,0.03801894,0.263026799,3.88,297.1512619,0.1,26.2
2911,2002,WORP99-0841,45.03431,-118.97695,REGION_10,17070202,Year2004,5,1.79,0.0504,211,15,1037.5657,870,57.74,0.14,0.12,0.85,1.91,0.3,,0.645,57,200.4,456.3,1,NA,28.06,7.3,3.48,1.46,9.21,13,367.5,916.5,,97,841.4448727,1081.733432,105.7767148,0.000616595,16.21810097,9,695.6187969,0,0
2912,2002,WORP99-0842,44.711,-118.95006,REGION_10,17070203,Year2004,2,1.88,0.0196,137,44,16.0707,1257,74.55,0.03,0,0,2.09,0.06,,0.497,39.3,790.6,326.5,0.9,NA,43.16,7.7,2.56,0.751,8.42,20.9,1068.4,2229.4,,206,2330.477275,2225.47397,55.30428551,0.003801894,2.630267992,27.5,2242.539081,0,0
2913,2002,WORP99-0851,45.19196,-121.54788,REGION_10,17070306,Year2004,1,0.21,0.0196,24,9,9.2017,1057,69.54,0.01,0.01,0,1.02,0,,1.084,17.1,144.8,125.2,0.4,NA,25.28,5,0.4,0.088,7.14,20.9,232.9,471.2,,50,488.7474592,520.441031,0.596282623,0.072443596,0.138038427,6.44,460.7160982,0,7.4
2914,2002,WORP99-0852,45.16741,-119.95186,REGION_10,17070204,Year2004,4,3.19,0.1596,500,63,218.3102,716,57.63,0.59,0,0.14,1.35,0.11,,0.449,93.2,854.3,901.7,0.8,NA,44.23,181.1,4.52,0.707,7.38,137.9,1405.2,2863.8,,301,3288.85583,3255.218484,6.638357668,0.041686938,0.239883292,38.81,2951.493849,0.2,48.6
2915,2002,WORP99-0854,44.77941,-118.45238,REGION_10,17070202,Year2004,3,0.84,0,37,9,33.211,1451,76.22,1.44,0,0,1.99,0,,0.69,25.8,672.4,137.8,0.4,NA,23.44,96,0.2,0.338,8.28,7.3,1002,1690.8,,163,1831.175647,1838.376515,30.29410563,0.005248075,1.905460718,20.79,1695.662321,0,5.4
2916,2002,WORP99-0856,44.0151,-119.33692,REGION_10,17070201,Year2004,4,2.63,0.0196,198,39,163.3379,1289,69.85,0.35,0,0,1.26,0.06,,0.493,49.1,1493.9,1058.3,0.8,NA,27.86,565.5,0.4,0.489,7.75,113.1,2700.6,4650.3,,466,4849.393878,5302.666633,21.86496419,0.017782794,0.562341325,51.93,4146.961512,0.2,11.2
2917,2002,WORP99-0860,44.77885,-118.68596,REGION_10,17070203,Year2004,1,0.88,0.0196,68,4,3.3374,1856,85.62,0,0,0,0,0,,0.896,15.5,143.3,74.9,0.7,NA,14.29,14.8,1.12,0.152,7.66,4.5,183.2,377.6,,39,380.9038877,417.625901,1.535078962,0.021877616,0.45708819,4.52,358.1887605,0,0
2918,2002,WORP99-0864,45.05222,-119.45154,REGION_10,17070202,Year2004,2,2.84,0,148,17,25.456,1130,79.14,0.03,0,0,0.89,0.11,,0.613,54.9,354.4,267,0.6,NA,29.87,38.3,5.92,0.761,8.09,18.9,473.5,1067.5,,111,1090.360347,1150.407664,11.76752796,0.008128305,1.230268771,12.55,1020.15573,0,24
2919,2002,WORP99-0866,44.27744,-119.59314,REGION_10,17070201,Year2004,2,1.18,0.0406,108,27,15.6122,1147,79.19,0.01,0,0,1.53,0,,0.481,51.1,552.3,367.1,0.6,NA,39.64,5.6,3.16,0.583,8.22,14.7,979,1931.2,,177,1980.785539,1950.093833,29.96938664,0.006025596,1.659586907,23.63,1926.012446,0.3,5.2
2920,2002,WORP99-0871,44.95509,-118.54965,REGION_10,17070202,Year2004,2,1.47,0.0196,128,31,6.2429,1673,98.06,0,0,0,0,0,,0.771,18.8,114,161.5,0.9,NA,24.95,15.4,4.56,1.13,7.8,14.7,253.7,491.2,,53,497.3416924,548.9555117,2.735931546,0.015848932,0.630957345,5.77,462.4730835,0.4,11.6
2921,2002,WORP99-0877,44.96174,-118.60722,REGION_10,17070202,Year2004,1,0.94,0.0196,73,18,0.5876,1677,98.03,0,0,0,0,0,,0.735,15.8,135.4,170.9,0.4,NA,19.05,98.3,0.52,0.19,7.83,9.3,463.2,670.3,,78,779.0699212,785.7657104,4.216500684,0.014791084,0.676082975,8.28,665.1711576,0.1,0
2922,2002,WORP99-0879,45.30062,-123.47625,REGION_10,17100203,Year2004,1,0.56,0.0938,168,9,5.9565,448,91.89,0,0.03,0,1.84,0,,2.702,6.6,177.4,216,0.8,NA,18.87,31.1,1.6,0.135,7.68,111.5,306.8,577.6,,70,711.5052964,707.606422,2.509262489,0.020892961,0.478630092,7.05,559.148712,0,4.4
2923,2002,WORP99-0883,44.56008,-120.17442,REGION_10,17070204,Year2004,2,1.67,0.0196,102,5,22.3109,875,48.45,0.01,0,2.73,1.1,0.22,,0.476,34.1,1705.3,1477.2,0.4,NA,22.24,784.9,0.2,0.355,8.42,101,2745,4977,,500,5507.247744,5962.047341,111.1287137,0.003801894,2.630267992,55.25,4506.169482,0.4,12.5
2924,2002,WORP99-0885,43.87526,-123.50137,REGION_10,17100206,Year2004,3,1.91,0.0602,209,23,325.6086,154,87.45,0.01,0.02,4.6,1.84,2.22,,1.266,25.6,146.3,232.1,0.9,NA,14.84,20.8,2.28,2.29,7.51,218,271.2,416.5,,71,635.6857903,676.1388793,1.18642405,0.030902954,0.323593657,5.03,391.0399926,0,7.1
2925,2002,WORP99-0888,42.32293,-120.98587,REGION_10,18010202,Year2004,3,2.25,0.0266,219,25,141.8782,1395,72.68,4.54,0.01,0,0.93,0.22,,0.59,75.9,803.9,492.4,0.6,NA,33.16,7.8,4.2,5.71,8.47,33.6,830.3,2165,,193,2159.141938,2203.021717,56.89316492,0.003388442,2.951209227,25.22,2056.086248,0.1,2.8
2926,2002,WORP99-0890,45.15893,-117.31785,REGION_10,17050203,Year2004,1,0.99,0.0238,284,3,1.4403,2141,2.37,0,0,0,0.65,0,,1.829,16.3,12.4,55.4,2.8,NA,6.18,23.8,2.36,0.281,7.44,13.1,170.3,209.9,,26,228.9086877,257.1268634,0.489376163,0.036307806,0.27542287,2.46,189.5064716,0.2,24
2927,2003,WORP99-0891,44.55866,-121.63343,REGION_10,17070301,Year2004,2,0.67,0.0294,176,52,22.6906,853,89.56,0.59,0,0,1.47,0.04,,0.742,35.6,205.1,202.8,1,NA,32.47,7.1,2.3,0.293,7.8,17.5,299.5,699,,69,714.4111521,743.9553073,4.040725414,0.015848932,0.630957345,8.52,683.0312493,0,5
2928,2002,WORP99-0892,43.2619,-123.72523,REGION_10,17100304,Year2004,3,1.87,0.0434,169,10,134.1066,238,83.92,0.01,0.01,0,1.77,0.01,,1.765,23.8,135.8,210.2,0.9,NA,11.41,52.4,1.48,0.561,7.48,75.7,256.4,492.4,,61,564.1087744,627.0919913,1.221540239,0.033113112,0.301995172,5.57,431.4088124,0,0.9
2929,2003,WORP99-0893,43.59511,-123.08252,REGION_10,17090002,Year2004,1,1.13,0.0602,141,19,1.3334,384,77.14,0,0,0,0.74,0.75,,1.374,15,142.5,215.9,0.3,NA,19.82,7.7,12,6.1,7.79,52.5,493.9,772.6,,84,828.0859244,867.5951018,4.385820068,0.016218101,0.616595002,9.47,758.6335494,0.2,4
2930,2002,WORP99-0917,44.44277,-119.81356,REGION_10,17070201,Year2004,3,1.04,0.0294,78,53,97.3513,1156,79.48,0.53,0,0,1.68,0.04,,0.691,39.4,785.8,416.8,0.6,NA,38.39,14.6,2.52,0.572,8.37,20.6,994,2169.1,,201,2268.964991,2236.572671,47.94550938,0.004265795,2.344228815,26.74,2181.369173,0,9.1
2931,2002,WORP99-0923,44.76812,-119.90937,REGION_10,17070204,Year2004,2,2.03,0.0504,220,60,55.5616,769,56.64,0.43,0,0,1.25,0.18,,0.466,51,1275.8,929.1,0.9,NA,46.89,40.8,7.08,1.2,8.09,62.6,1678.1,3742.1,,359,3672.298667,3934.788427,40.64289139,0.008128305,1.230268771,43.33,3523.431487,0.2,20.3
2932,2002,WORP99-0924,44.99637,-118.72535,REGION_10,17070202,Year2004,2,1.76,0,84,82,9.421,1225,90.62,0.01,0.01,0,3.05,0,,0.704,79.2,297.7,236.5,0.7,NA,41.03,46,0.8,0.668,8.27,12.7,582.8,1134.9,,112,1151.655864,1196.930625,18.72242012,0.005370318,1.862087137,13.15,1072.366456,0,0
2933,2002,WORP99-0928,45.30179,-121.44914,REGION_10,17070306,Year2004,1,1.45,0,166,22,1.9365,1234,99.55,0,0,0,0,0,,0.951,41.2,94.4,182.7,0.9,NA,33.75,4,4.88,0.412,7.51,24,142.9,400,,44,402.3277672,462.0548046,1.131513609,0.030902954,0.323593657,4.8,372.9417599,0,27.6
2934,2002,WORP99-0929,44.99278,-120.19689,REGION_10,17070204,Year2004,3,2.32,0.0406,333,66,78.9586,838,53.7,0.24,0.01,1.2,1.13,0.24,,0.439,40.5,853.9,937.8,0.9,NA,30.96,79.9,11.16,3.92,8.25,91.7,2752.5,4532.8,,409,4320.317951,4585.528188,67.96166855,0.005623413,1.77827941,49.98,4076.104103,0.2,21
2935,2002,WORP99-0931,44.78677,-118.37703,REGION_10,17070202,Year2004,1,1.4,0,76,7,4.4236,1430,77.19,0,0,0,1.12,0,,0.671,41.9,587,213.2,0.4,NA,25.1,161.4,3.24,0.503,8.33,12.4,832.3,1488.8,,158,1643.926147,1674.751111,28.84907613,0.004677351,2.13796209,17.64,1439.173469,0.5,0
2936,2002,WORP99-0935,45.05039,-119.34993,REGION_10,17070202,Year2004,3,2.23,0.0504,237,11,38.8451,1211,72.67,2.77,0,0,1.25,0.02,,0.74,54.8,369.7,248.8,1.4,NA,32.87,7.5,2.08,0.405,7.98,13,567.4,1202.6,,116,1188.077208,1241.958057,10.32186088,0.010471286,0.954992586,14.23,1152.760895,0.1,0
2937,2003,WORP99-0937,44.34544,-119.65115,REGION_10,17070201,Year2004,3,1.04,0.0294,187,50,31.4085,1230,91.31,0.22,0,0,0.74,0,,0.654,28.5,480.3,224.2,0.8,NA,8.69,10.8,11.4,0.379,8.03,16.6,841.3,1471.9,,137,1461.825658,1575.155294,14.23511052,0.009332543,1.071519305,17.46,1416.909388,0,0
2938,2002,WORP99-0947,44.62332,-119.63725,REGION_10,17070201,Year2004,2,1.19,0.4298,625,54,17.3429,642,41,0,0,0.03,0.77,0.11,,0.404,30.4,1040.6,1110.9,1,NA,39.15,166.8,6.8,0.368,7.96,138.2,1394.2,3371.5,,313,3660.581928,3577.158743,28.18242527,0.010964782,0.912010839,40.73,3295.790507,0.2,22.6
2939,2002,WORP99-0948,45.09129,-119.21856,REGION_10,17070202,Year2004,2,1.47,0,132,17,39.448,1325,69.84,1.73,0,0,0.87,0,,0.879,52.9,157.8,217.8,0.9,NA,34.95,22.5,177.3636364,1.03,8.45,10.4,274.2,655.9,,67,647.4340368,703.4121619,15.74800521,0.003548134,2.818382931,7.31,595.9458286,0,0
2940,2003,WORP99-0952,42.82928,-124.04333,REGION_10,17100305,Year2004,1,1.59,0.0994,128,4,9.3846,158,98.95,0,0,0,1.64,0.64,,1.788,10.9,997,237.3,0.4,NA,13.63,158.6,1.2,0.212,7.98,125.5,398,1286.7,,148,1629.981181,1643.663957,11.87171009,0.010471286,0.954992586,16.37,1325.850378,0.3,5
2941,2003,WORP99-0954,45.19071,-122.13771,REGION_10,17090011,Year2004,1,0.86,0.1106,147,2,3.4431,753,100.09,0,0,0,1.27,0.29,,1.91,6.9,88.4,70.3,0.5,NA,12.65,6.5,0.2,0.524,7.04,31,96.1,222.4,,27,256.988933,262.2759998,0.217258352,0.091201084,0.10964782,3.06,211.3283268,0,16
2942,2003,WORP99-0972,45.08543,-119.0453,REGION_10,17070202,Year2004,4,2.01,0.07,354,30,108.947,1129,64.21,0.44,0,0,2.56,0.04,,0.787,72.5,255.5,249.2,1.2,NA,30.74,9.4,5,0.767,7.78,11.3,402.5,917,,91,923.0325807,980.8588664,5.038005396,0.016595869,0.602559586,11.14,891.7433158,0,34
2943,2003,WORP99-0977,44.8447,-119.591,REGION_10,17070204,Year2004,2,2.52,0,174,77,13.6667,1011,72.5,0,0,0,0.61,0.14,,0.43,15.1,1288.3,454.6,0.7,NA,49.19,19.4,1.1,0.188,7.78,28.5,1701.1,3262,,295,3510.801929,3459.671994,19.45104238,0.016595869,0.602559586,43.01,3442.897667,0.1,26
2944,2003,WORP99-0985,44.35053,-119.54309,REGION_10,17070201,Year2004,2,1.45,0.0504,171,50,9.8785,925,58.26,0.02,0,0,0.7,0,,0.416,42.5,741.1,395.5,0.4,NA,47.97,18.3,3.4,0.401,7.94,29.9,835.8,2013,,189,2168.535038,2015.420157,17.13864845,0.011481536,0.87096359,25.96,2098.735966,0,19
2945,2003,WORP99-0997,44.25692,-118.72987,REGION_10,17070201,Year2004,1,1.67,0,93,65,2.9864,1740,89.68,0.03,0,0,0,0.33,,0.965,42,189.5,201.4,0.2,NA,41.38,24.6,1.3,0.264,7.73,7.9,364.6,733.7,,75,724.4782059,797.7287314,3.46429229,0.018620871,0.537031796,8.63,688.0116018,0,0
2946,2003,WORP99-1002,44.8069,-118.42878,REGION_10,17070202,Year2004,4,1.54,0,126,15,116.9476,1390,78.08,0,0.02,0,2.38,0.09,,0.724,39.2,458.7,201,0.4,NA,22.85,164.9,0.8,1.1,8.03,14.7,656.7,1175.9,,133,1296.204438,1356.013105,11.09621158,0.009332543,1.071519305,13.61,1104.475187,0,5
2947,2003,WORP99-1003,44.63523,-118.84265,REGION_10,17070203,Year2004,3,2.18,0,351,67,77.4661,1215,89,0,0,0,2.83,0.05,,0.576,49.2,605,655.9,0.4,NA,33.72,23.7,7.2,0.531,8.54,36.4,1092.8,2243.3,,209,2307.936149,2403.275904,70.66667979,0.002884032,3.467368505,26.7,2173.681561,0,10
2948,2003,WORP99-1016,44.43981,-122.27953,REGION_10,17090006,Year2004,1,0.37,0.0294,53,10,2.8412,790,92.84,0,0,0,1.27,0,,2.147,11.9,57.2,110.8,0.4,NA,13.66,10.6,1.2,0.18,7.16,19.2,119.3,267.1,,30,297.4385204,299.5846643,0.35913375,0.069183097,0.144543977,3.68,264.9948626,0,11
2949,2003,WORP99-1017,43.18245,-122.32812,REGION_10,17100301,Year2004,2,0.76,0,56,17,15.5057,1256,89.06,0.01,0.01,0.01,0.84,0,,1.391,16.6,125.9,110.3,0.2,NA,21.37,3.7,0,0.116,7.41,7.6,214.4,440.9,,44,429.4341305,467.4174505,1.004514534,0.038904515,0.257039578,5.45,416.8093564,0.1,20
2950,2003,WORP99-1018,43.84347,-122.67493,REGION_10,17090001,Year2004,2,0.74,0.1106,158,29,29.9529,294,97.11,0,0,0,1.07,1.03,,1.503,10.9,149.7,183.7,0.5,NA,19.44,47.1,0.2,1.734,7.85,36.9,439.6,670.6,,76,752.5036371,784.5174354,4.35160876,0.014125375,0.707945784,8.15,655.5881225,0.1,4
2951,2003,WORP99-1019,42.7587,-118.82789,REGION_10,17120003,Year2004,3,1.03,0.2002,290,21,55.8926,1380,16.77,0.05,0.01,0,0.46,0,,0.876,24.8,262.7,167,0.4,NA,29.94,15.2,0.6,0.688,7.96,13.5,405.8,795.3,,81,824.1491847,860.5525178,6.615137978,0.010964782,0.912010839,9.56,773.6065558,0,9
2952,2003,WORP99-1021,44.26681,-119.2195,REGION_10,17070201,Year2004,3,1.21,0,73,3,21.1214,1385,92.97,0.06,0,0,2.09,0.09,,0.528,17.8,540.8,261.2,0.1,NA,21.52,238.6,0.3,0.281,8.15,18.3,3348.8,3799.5,,371,4123.723301,4168.781448,50.52390241,0.007079458,1.412537545,46.85,3814.855761,0,17
2953,2000,WSDP99-0501,43.53033,-102.23158,REGION__8,10140201,Year2004,4,4.26,0.4004,1468,395,644.7541,804,3.97,0.93,0,15.09,1.04,2.57,,0.438,290.3,461.1,3023.9,1,NA,49.34,764.9,263,155,8.5,242.3,2819.7,5657.8,,594,6565.68,6595.96,159.147,0.003,3.162,65.88,5367.598,2,6
2954,2000,WSDP99-0502,44.28506,-103.79325,REGION__8,10120202,Year2004,1,1.92,0.0798,209,20,11.877,1737,88.8,2.35,0,0,1.01,4.37,,0.794,15.9,2209.4,75.9,0.9,NA,8.4,73.7,6.9,2.05,8.64,93.4,2653.7,4865,,427,4535.1,4955.68,171.349,0.002,4.365,51.57,4186.612,1,6
2955,2000,WSDP99-0503,45.57118,-101.01628,REGION__8,10130303,Year2004,3,9.43,0.0294,771,138,280.695,603,0.06,0.56,0.03,47.42,0.87,0.47,,0.442,106.7,1491.3,4316.5,1.5,NA,10.84,1352.5,2.4,1.38,8.43,117.6,2023.2,6749.4,,732,8804.2,7939.11,180.408,0.004,2.692,87.66,7148.869,1,5
2956,2000,WSDP99-0503,45.57118,-101.01628,REGION__8,10130303,Year2004,3,9.43,0.0294,771,138,280.695,603,0.06,0.56,0.03,47.42,0.87,0.47,,0.442,106.7,1491.3,4316.5,1.5,NA,10.84,1352.5,2.4,1.38,8.43,117.6,2023.2,6749.4,,732,8804.2,7939.11,180.408,0.004,2.692,87.66,7148.869,1,5
